,District_Code,Sex,District,Neighborhood,Population,Neighborhood_Code,Academic_Qualification
140,10,Women,Sant Martí,la Vila Olímpica del Poblenou,242,67,Primary education / certificate of schooling / EGB
141,10,Women,Sant Martí,el Poblenou,2313,68,Primary education / certificate of schooling / EGB
142,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,759,69,Primary education / certificate of schooling / EGB
143,10,Women,Sant Martí,el Besòs i el Maresme,2887,70,Primary education / certificate of schooling / EGB
144,10,Women,Sant Martí,Provençals del Poblenou,1826,71,Primary education / certificate of schooling / EGB
145,10,Women,Sant Martí,Sant Martí de Provençals,2912,72,Primary education / certificate of schooling / EGB
146,10,Women,Sant Martí,la Verneda i la Pau,3588,73,Primary education / certificate of schooling / EGB
147,1,Women,Ciutat Vella,el Raval,4473,1,Elementary school / school graduate / ESO / FPI
148,1,Women,Ciutat Vella,el Barri Gòtic,1401,2,Elementary school / school graduate / ESO / FPI
149,1,Women,Ciutat Vella,la Barceloneta,1512,3,Elementary school / school graduate / ESO / FPI
150,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1634,4,Elementary school / school graduate / ESO / FPI
151,2,Women,Eixample,el Fort Pienc,2850,5,Elementary school / school graduate / ESO / FPI
152,2,Women,Eixample,la Sagrada Família,4847,6,Elementary school / school graduate / ESO / FPI
153,2,Women,Eixample,la Dreta de l'Eixample,2753,7,Elementary school / school graduate / ESO / FPI
154,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,2996,8,Elementary school / school graduate / ESO / FPI
155,2,Women,Eixample,la Nova Esquerra de l'Eixample,4802,9,Elementary school / school graduate / ESO / FPI
156,2,Women,Eixample,Sant Antoni,3543,10,Elementary school / school graduate / ESO / FPI
157,3,Women,Sants-Montjuïc,el Poble Sec,3912,11,Elementary school / school graduate / ESO / FPI
158,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,165,12,Elementary school / school graduate / ESO / FPI
159,3,Women,Sants-Montjuïc,la Marina de Port,3772,13,Elementary school / school graduate / ESO / FPI
160,3,Women,Sants-Montjuïc,la Font de la Guatlla,1068,14,Elementary school / school graduate / ESO / FPI
161,3,Women,Sants-Montjuïc,Hostafrancs,1586,15,Elementary school / school graduate / ESO / FPI
162,3,Women,Sants-Montjuïc,la Bordeta,2104,16,Elementary school / school graduate / ESO / FPI
163,3,Women,Sants-Montjuïc,Sants - Badal,2744,17,Elementary school / school graduate / ESO / FPI
164,3,Women,Sants-Montjuïc,Sants,4173,18,Elementary school / school graduate / ESO / FPI
165,4,Women,Les Corts,les Corts,3712,19,Elementary school / school graduate / ESO / FPI
166,4,Women,Les Corts,la Maternitat i Sant Ramon,1979,20,Elementary school / school graduate / ESO / FPI
167,4,Women,Les Corts,Pedralbes,756,21,Elementary school / school graduate / ESO / FPI
168,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",294,22,Elementary school / school graduate / ESO / FPI
169,5,Women,Sarrià-Sant Gervasi,Sarrià,1436,23,Elementary school / school graduate / ESO / FPI
170,5,Women,Sarrià-Sant Gervasi,les Tres Torres,856,24,Elementary school / school graduate / ESO / FPI
171,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,1552,25,Elementary school / school graduate / ESO / FPI
172,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,2780,26,Elementary school / school graduate / ESO / FPI
173,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,1931,27,Elementary school / school graduate / ESO / FPI
174,6,Women,Gràcia,Vallcarca i els Penitents,1344,28,Elementary school / school graduate / ESO / FPI
175,6,Women,Gràcia,el Coll,758,29,Elementary school / school graduate / ESO / FPI
176,6,Women,Gràcia,la Salut,1133,30,Elementary school / school graduate / ESO / FPI
177,6,Women,Gràcia,la Vila de Gràcia,3574,31,Elementary school / school graduate / ESO / FPI
178,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,2950,32,Elementary school / school graduate / ESO / FPI
179,7,Women,Horta-Guinardó,el Baix Guinardó,2580,33,Elementary school / school graduate / ESO / FPI
180,7,Women,Horta-Guinardó,Can Baró,966,34,Elementary school / school graduate / ESO / FPI
181,7,Women,Horta-Guinardó,el Guinardó,3837,35,Elementary school / school graduate / ESO / FPI
182,7,Women,Horta-Guinardó,la Font d'en Fargues,958,36,Elementary school / school graduate / ESO / FPI
183,7,Women,Horta-Guinardó,el Carmel,4368,37,Elementary school / school graduate / ESO / FPI
184,7,Women,Horta-Guinardó,la Teixonera,1450,38,Elementary school / school graduate / ESO / FPI
185,7,Women,Horta-Guinardó,Sant Genís dels Agudells,881,39,Elementary school / school graduate / ESO / FPI
186,7,Women,Horta-Guinardó,Montbau,561,40,Elementary school / school graduate / ESO / FPI
187,7,Women,Horta-Guinardó,la Vall d'Hebron,592,41,Elementary school / school graduate / ESO / FPI
188,7,Women,Horta-Guinardó,la Clota,74,42,Elementary school / school graduate / ESO / FPI
189,7,Women,Horta-Guinardó,Horta,3000,43,Elementary school / school graduate / ESO / FPI
190,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,3109,44,Elementary school / school graduate / ESO / FPI
191,8,Women,Nou Barris,Porta,3386,45,Elementary school / school graduate / ESO / FPI
192,8,Women,Nou Barris,el Turó de la Peira,2041,46,Elementary school / school graduate / ESO / FPI
193,8,Women,Nou Barris,Can Peguera,318,47,Elementary school / school graduate / ESO / FPI
194,8,Women,Nou Barris,la Guineueta,1920,48,Elementary school / school graduate / ESO / FPI
195,8,Women,Nou Barris,Canyelles,994,49,Elementary school / school graduate / ESO / FPI
196,8,Women,Nou Barris,les Roquetes,2359,50,Elementary school / school graduate / ESO / FPI
197,8,Women,Nou Barris,Verdun,1768,51,Elementary school / school graduate / ESO / FPI
