,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Five-Year_Age,Nationality
3503,10,Women,Sant Martí,Sant Martí de Provençals,72,295,25-29 years,Foreign
3504,10,Women,Sant Martí,la Verneda i la Pau,73,289,25-29 years,Foreign
3505,1,Women,Ciutat Vella,el Raval,1,1772,30-34 years,Foreign
3506,1,Women,Ciutat Vella,el Barri Gòtic,2,850,30-34 years,Foreign
3507,1,Women,Ciutat Vella,la Barceloneta,3,598,30-34 years,Foreign
3508,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,1079,30-34 years,Foreign
3509,2,Women,Eixample,el Fort Pienc,5,780,30-34 years,Foreign
3510,2,Women,Eixample,la Sagrada Família,6,1250,30-34 years,Foreign
3511,2,Women,Eixample,la Dreta de l'Eixample,7,1029,30-34 years,Foreign
3512,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,1012,30-34 years,Foreign
3513,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,1246,30-34 years,Foreign
3514,2,Women,Eixample,Sant Antoni,10,900,30-34 years,Foreign
3515,3,Women,Sants-Montjuïc,el Poble Sec,11,1160,30-34 years,Foreign
3516,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,11,30-34 years,Foreign
3517,3,Women,Sants-Montjuïc,la Marina de Port,13,378,30-34 years,Foreign
3518,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,182,30-34 years,Foreign
3519,3,Women,Sants-Montjuïc,Hostafrancs,15,372,30-34 years,Foreign
3520,3,Women,Sants-Montjuïc,la Bordeta,16,225,30-34 years,Foreign
3521,3,Women,Sants-Montjuïc,Sants - Badal,17,430,30-34 years,Foreign
3522,3,Women,Sants-Montjuïc,Sants,18,850,30-34 years,Foreign
3523,4,Women,Les Corts,les Corts,19,591,30-34 years,Foreign
3524,4,Women,Les Corts,la Maternitat i Sant Ramon,20,306,30-34 years,Foreign
3525,4,Women,Les Corts,Pedralbes,21,102,30-34 years,Foreign
3526,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,40,30-34 years,Foreign
3527,5,Women,Sarrià-Sant Gervasi,Sarrià,23,177,30-34 years,Foreign
3528,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,104,30-34 years,Foreign
3529,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,232,30-34 years,Foreign
3530,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,480,30-34 years,Foreign
3531,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,469,30-34 years,Foreign
3532,6,Women,Gràcia,Vallcarca i els Penitents,28,253,30-34 years,Foreign
3533,6,Women,Gràcia,el Coll,29,115,30-34 years,Foreign
