,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Nationality
8141,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,0,Stateless / Not listed
8142,5,Men,Sarrià-Sant Gervasi,el Putxet i el Farró,27,3,Stateless / Not listed
8143,6,Men,Gràcia,Vallcarca i els Penitents,28,1,Stateless / Not listed
8144,6,Men,Gràcia,el Coll,29,0,Stateless / Not listed
8145,6,Men,Gràcia,la Salut,30,3,Stateless / Not listed
8146,6,Men,Gràcia,la Vila de Gràcia,31,6,Stateless / Not listed
8147,6,Men,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,1,Stateless / Not listed
8148,7,Men,Horta-Guinardó,el Baix Guinardó,33,2,Stateless / Not listed
8149,7,Men,Horta-Guinardó,Can Baró,34,1,Stateless / Not listed
8150,7,Men,Horta-Guinardó,el Guinardó,35,0,Stateless / Not listed
8151,7,Men,Horta-Guinardó,la Font d'en Fargues,36,0,Stateless / Not listed
8152,7,Men,Horta-Guinardó,el Carmel,37,0,Stateless / Not listed
8153,7,Men,Horta-Guinardó,la Teixonera,38,0,Stateless / Not listed
8154,7,Men,Horta-Guinardó,Sant Genís dels Agudells,39,0,Stateless / Not listed
8155,7,Men,Horta-Guinardó,Montbau,40,0,Stateless / Not listed
8156,7,Men,Horta-Guinardó,la Vall d'Hebron,41,0,Stateless / Not listed
8157,7,Men,Horta-Guinardó,la Clota,42,0,Stateless / Not listed
8158,7,Men,Horta-Guinardó,Horta,43,2,Stateless / Not listed
8159,8,Men,Nou Barris,Vilapicina i la Torre Llobeta,44,2,Stateless / Not listed
8160,8,Men,Nou Barris,Porta,45,1,Stateless / Not listed
8161,8,Men,Nou Barris,el Turó de la Peira,46,2,Stateless / Not listed
8162,8,Men,Nou Barris,Can Peguera,47,0,Stateless / Not listed
8163,8,Men,Nou Barris,la Guineueta,48,0,Stateless / Not listed
8164,8,Men,Nou Barris,Canyelles,49,0,Stateless / Not listed
8165,8,Men,Nou Barris,les Roquetes,50,0,Stateless / Not listed
8166,8,Men,Nou Barris,Verdun,51,0,Stateless / Not listed
8167,8,Men,Nou Barris,la Prosperitat,52,0,Stateless / Not listed
8168,8,Men,Nou Barris,la Trinitat Nova,53,0,Stateless / Not listed
8169,8,Men,Nou Barris,Torre Baró,54,0,Stateless / Not listed
8170,8,Men,Nou Barris,Ciutat Meridiana,55,0,Stateless / Not listed
8171,8,Men,Nou Barris,Vallbona,56,0,Stateless / Not listed
8172,9,Men,Sant Andreu,Baró de Viver,58,0,Stateless / Not listed
8173,9,Men,Sant Andreu,el Bon Pastor,59,0,Stateless / Not listed
8174,9,Men,Sant Andreu,Sant Andreu,60,2,Stateless / Not listed
8175,9,Men,Sant Andreu,la Sagrera,61,1,Stateless / Not listed
8176,9,Men,Sant Andreu,el Congrés i els Indians,62,0,Stateless / Not listed
8177,9,Men,Sant Andreu,Navas,63,1,Stateless / Not listed
8178,10,Men,Sant Martí,el Camp de l'Arpa del Clot,64,2,Stateless / Not listed
8179,10,Men,Sant Martí,el Clot,65,1,Stateless / Not listed
8180,10,Men,Sant Martí,el Parc i la Llacuna del Poblenou,66,1,Stateless / Not listed
8181,10,Men,Sant Martí,la Vila Olímpica del Poblenou,67,0,Stateless / Not listed
8182,10,Men,Sant Martí,el Poblenou,68,2,Stateless / Not listed
8183,10,Men,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,0,Stateless / Not listed
8184,10,Men,Sant Martí,el Besòs i el Maresme,70,2,Stateless / Not listed
8185,10,Men,Sant Martí,Provençals del Poblenou,71,4,Stateless / Not listed
8186,10,Men,Sant Martí,Sant Martí de Provençals,72,2,Stateless / Not listed
8187,10,Men,Sant Martí,la Verneda i la Pau,73,0,Stateless / Not listed
8188,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,77,United Kingdom
8189,7,Women,Horta-Guinardó,el Baix Guinardó,33,41,United Kingdom
8190,7,Women,Horta-Guinardó,Can Baró,34,10,United Kingdom
8191,7,Women,Horta-Guinardó,el Guinardó,35,51,United Kingdom
8192,7,Women,Horta-Guinardó,la Font d'en Fargues,36,14,United Kingdom
8193,7,Women,Horta-Guinardó,el Carmel,37,22,United Kingdom
8194,7,Women,Horta-Guinardó,la Teixonera,38,10,United Kingdom
8195,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,4,United Kingdom
8196,7,Women,Horta-Guinardó,Montbau,40,3,United Kingdom
8197,7,Women,Horta-Guinardó,la Vall d'Hebron,41,5,United Kingdom
8198,7,Women,Horta-Guinardó,la Clota,42,0,United Kingdom
8199,7,Women,Horta-Guinardó,Horta,43,7,United Kingdom
8200,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,19,United Kingdom
8201,8,Women,Nou Barris,Porta,45,11,United Kingdom
8202,8,Women,Nou Barris,el Turó de la Peira,46,9,United Kingdom
8203,8,Women,Nou Barris,Can Peguera,47,0,United Kingdom
8204,8,Women,Nou Barris,la Guineueta,48,5,United Kingdom
8205,8,Women,Nou Barris,Canyelles,49,2,United Kingdom
8206,8,Women,Nou Barris,les Roquetes,50,7,United Kingdom
8207,8,Women,Nou Barris,Verdun,51,6,United Kingdom
8208,8,Women,Nou Barris,la Prosperitat,52,10,United Kingdom
8209,8,Women,Nou Barris,la Trinitat Nova,53,2,United Kingdom
8210,8,Women,Nou Barris,Torre Baró,54,0,United Kingdom
8211,8,Women,Nou Barris,Ciutat Meridiana,55,8,United Kingdom
